# California - Region 4 Teams
# Accuracy: 79.6% (3312/4161 matches guessed correct)

rank, team, skill
410, 8929C, -9.240244059920066
411, 84949K, -9.388952929094238
412, 34020C, -9.422602804072461
413, 20210B, -9.632046954789779
414, 462B, -9.869846311380599
415, 83A, -10.03806945645351
416, 64544A, -10.041044803392609
417, 1138A, -10.235769425100198
418, 93060C, -10.277467468599227
419, 43125C, -10.515740960680748
420, 71577A, -10.834328505891484
421, 57350A, -10.883272157371174
422, 51521F, -10.919973697282735
423, 76607Y, -10.99614757950372
424, 16552C, -11.796811640095815
425, 67915A, -12.101468198766085
426, 1836R, -12.37833948467409
427, 16552A, -12.980070158106031
428, 68235C, -13.776777734513317
429, 8771Y, -14.024169592230258
430, 40471A, -14.61243350363802
431, 11211Z, -14.623633742630737
432, 47061A, -14.6268605766669
433, 81042B, -15.565779781531226
434, 8052A, -16.044996126878456
435, 1759P, -16.10267477995815
436, 9413A, -16.940486122984932
437, 4642V, -16.954235175460816
438, 96388G, -17.2612501425528
439, 92704C, -18.339619118111056
440, 6986E, -19.20254794629511
441, 56688A, -20.14957759424519
442, 68235B, -20.42629867086435
443, 3355P, -20.783735238006727
444, 385P, -21.22763674355605
445, 21A, -21.24045131448865
446, 10515X, -21.48467306566476
447, 7164S, -22.036353647834467
448, 9682Y, -22.18892372130163
449, 41658C, -22.424823448737293
450, 3324P, -23.74415306043469
451, 687D, -23.975209389898307
452, 35211A, -24.038235196095037
453, 35211B, -25.762070581217074
454, 5840A, -25.82293168050709
455, 1680C, -26.318614608224514
456, 95511A, -26.334271285277943
457, 62019X, -26.57267551220267
458, 3355C, -26.681183465853735
459, 1774B, -26.805915608495134
460, 8929E, -26.984787404096174
461, 98808B, -28.637000270731793
462, 82030A, -28.70870371202418
463, 52846A, -28.993680614716986
464, 20210C, -29.30282610971098
465, 1034C, -29.613556690568874
466, 81042A, -30.090905327820007
467, 88631C, -30.457873541142543
468, 12213A, -30.489722375265046
469, 3355B, -30.942529499915885
470, 4047B, -31.193209563543718
471, 92833A, -31.756430967989985
472, 92187Y, -31.93442151874212
473, 64544B, -32.74732340808717
474, 79089A, -34.05072603303363
475, 20210A, -34.88527108165011
476, 8737A, -36.306973152403366
477, 98808A, -36.327263446568345
478, 80496A, -36.33606591564822
479, 35211C, -37.650611626845986
480, 8101P, -38.145759342226526
481, 43125A, -38.231579668265645
482, 3967A, -39.760850028475275
483, 1680B, -39.796209384656336
484, 98268B, -40.182187709874356
485, 6636A, -41.19523474563694
486, 3967B, -44.54362157905124
487, 51521G, -45.468912285606905
488, 751D, -46.451539812190155
489, 3355H, -51.99145165336103
490, 15886A, -52.37873402944954
491, 10301B, -56.331823991420364
492, 8565B, -57.17051819538038
493, 88631B, -58.17266717402353
494, 7057G, -60.76101669356913
495, 51521D, -62.412570913326846
496, 1138Y, -63.456215478096226
497, 57350B, -63.54932149941252
498, 16552D, -64.10199357282133
499, 83B, -64.76549484030448
500, 95511C, -65.10574837325305
501, 64544D, -65.9418532157336
502, 9413B, -68.88867667691574
503, 43125E, -71.36314648369978
504, 8929B, -84.3979047479871
505, 7057J, -99.17672656446086
